id,chain,offer,market,repeater,offerdate,category,quantity,company,offervalue,brand,pqavg,paavg
61274786,4,1200581,1,f,2013-04-09,1726,1,104460040,1.25,7668,1,1.79
68468663,14,1204576,8,f,2013-04-06,5616,1,104610040,1,15889,2,15.98
98313447,18,1197502,11,f,2013-03-26,3203,1,106414464,0.75,13474,1,2.39
98948079,4,1200581,1,f,2013-03-30,1726,1,104460040,1.25,7668,1,4.79
100541937,4,1200581,1,f,2013-04-02,1726,1,104460040,1.25,7668,1,2
100573433,15,1200581,9,f,2013-04-23,1726,1,104460040,1.25,7668,2,4.59
101598981,88,1204576,14,f,2013-04-08,5616,1,104610040,1,15889,1,4.49
104439048,15,1200581,9,f,2013-04-05,1726,1,104460040,1.25,7668,1,2.79
104495350,88,1204576,14,f,2013-04-04,5616,1,104610040,1,15889,1,5.49
105179908,20,1197502,7,t,2013-03-26,3203,1,106414464,0.75,13474,1,3.49
